,Date,ADBE,CVX,MDLZ,NFLX,ORCL,SBUX
65,08/01/2011,25.24,80.44854699999999,20.825727,33.572857,26.20812,17.847031
66,07/01/2011,27.709999,83.991791,20.445131,37.998573,28.551634000000004,18.460758
67,06/01/2011,31.450001,83.038986,20.950609,37.527142,30.672764,18.184469
68,05/02/2011,34.630001,84.71043399999999,20.621187,38.685715,31.893711,16.941166
69,04/01/2011,33.549999,87.69013199999999,19.807426,33.238571,33.515423,16.610157
70,03/01/2011,33.16,86.127663,18.492435,33.968571000000004,31.101677000000002,16.95429
71,02/01/2011,34.5,83.130943,18.602465,29.524286,30.608590999999997,15.132679000000001
72,01/03/2011,33.049999,75.496002,17.860468,30.582857,29.799183000000003,14.409629
73,12/01/2010,30.780001000000002,72.569366,18.409662,25.1,29.073328000000004,14.683836999999999
74,11/01/2010,27.799999,64.393883,17.512638,29.414285999999997,25.125671,13.984607
75,10/01/2010,28.15,65.132835,18.682077,24.795713,27.289917,12.99719
76,09/01/2010,26.15,63.910614,17.865786,23.165714,24.894123,11.627388
77,08/02/2010,27.700001,58.414536,17.15789,17.931429,20.249075,10.457823
78,07/01/2010,28.719998999999998,59.537323,16.756334,14.65,21.917953,11.249669
79,06/01/2010,26.43,53.014076,16.062217999999998,15.521428,19.854185,11.000682000000001
80,05/03/2010,32.080002,57.709251,16.24419,15.878572,20.881126000000002,11.72048
81,04/01/2010,33.599998,63.034572999999995,16.812170000000002,14.128572,23.934195000000003,11.761223
82,03/01/2010,35.369999,58.692429000000004,17.175674,10.534286,23.74065,10.941774
83,02/01/2010,34.650002,55.960209,15.994751,9.435715,22.761847,10.328638
84,01/04/2010,32.299999,55.291709999999995,15.561547000000001,8.892858,21.293638,9.823703
85,12/01/2009,36.779999,59.025352000000005,15.291499,7.87,22.605370999999998,10.396263000000001
86,11/02/2009,35.080002,59.830349,14.796586999999999,8.375714,20.347599,9.873294999999999
87,10/01/2009,32.939999,58.168388,15.319867000000002,7.635714,19.44449,8.556855
88,09/01/2009,33.040001000000004,53.524947999999995,14.624016000000001,6.595714,19.158724,9.309751
89,08/03/2009,31.42,53.152561,15.6094,6.232857,20.11482,8.561364
90,07/01/2009,32.419998,52.272265999999995,15.603894,6.277143,20.34465,7.979786
